post_id,name,brand,slug,detail_url,image_filename,button_latency_cable_ms,button_latency_dongle_ms,button_latency_bluetooth_ms,stick_latency_cable_ms,stick_latency_dongle_ms,stick_latency_bluetooth_ms,latscore_wired,latscore_wireless,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,platforms,interfaces,price,date_published,tags,image_downloaded
207,Void PS4 FireBird,Void,void-ps4-firebird,https://gamepadla.com/void-ps4-firebird.html,207_void-ps4-firebird.webp,1.97,,,3.06,,,A+,,1.41,2.9416666666666664,6.37,1.12,Windows,Cable,$ 69.99,2025-11-06T17:52:43+02:00,symmetric;verified;windows,yes
219,Void GENESIS,Void,void-genesis,https://gamepadla.com/void-genesis.html,219_void-genesis.webp,1.01,2.14,,0.5,1.7,,A+,A+,0.3,1.2716666666666667,2.66,0.2,Android;iOS;Linux;Windows,Cable;Dongle,$ 189.99,2026-01-14T15:08:55+02:00,android;ios;linux;macos;symmetric;tmr;verified;windows,yes
244,GameSir Tarantula 8K,GameSir,gamesir-tarantula-8k,https://gamepadla.com/gamesir-tarantula-8k.html,244_gamesir-tarantula-8k.webp,1.04,,,0.49,,,A+,,0.06,1.525,11.38,3.28,Windows,Cable,$ 69.99,2026-06-14T18:40:52+03:00,symmetric;tmr;verified;windows,yes
246,Leadjoy Saber Plus,Leadjoy,leadjoy-saber-plus,https://gamepadla.com/leadjoy-saber-plus.html,246_leadjoy-saber-plus.webp,2.59,5.11,10.06,2.96,6.42,10.05,A+,A,1.42,13.288333333333334,107.52,19.96,Switch;Windows,Cable;Dongle;Bluetooth,$ 59.99,2026-07-25T13:52:34+03:00,switch;symmetric;tmr;verified;windows,yes
245,FireBird v2.4a,FireBird,firebird-v2-4a,https://gamepadla.com/firebird-v2-4a.html,245_firebird-v2-4a.webp,2.36,,,1.75,,,A+,,0.89,1.96875,2.87,0.33,,Cable,$ 129.90,,,yes
185,ZD Ultimate Legend,ZD,zd-ultimate-legend,https://gamepadla.com/zd-ultimate-legend.html,185_zd-ultimate-legend.webp,2.43,11.22,11.0,1.44,9.64,21.98,A+,B,0.41,7.7317857142857145,33.16,6.78,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 98.99 , find on: Aliexpress , Amazon",2025-10-23T15:00:27+03:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
90,BigBig Won Blitz 2 (TMR),Mojhon,bigbigwon-blitz-2-tmr,https://gamepadla.com/bigbigwon-blitz-2-tmr.html,90_bigbigwon-blitz-2-tmr.webp,5.23,6.88,14.97,2.68,4.35,16.63,A+,A,0.42,7.52909090909091,24.79,3.91,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,"$ 70.99 , find on: Aliexpress , Amazon",2025-10-19T02:59:52+03:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
233,Steam Controller 2.0,Valve,steam-controller,https://gamepadla.com/steam-controller.html,233_steam-controller.webp,4.12,6.25,7.26,5.08,7.75,10.21,A,B,1.11,6.739333333333334,16.35,4.31,Linux;Windows,Cable;Dongle;Bluetooth,$ 99.00,2026-05-15T11:59:41+03:00,linux;macos;symmetric;tmr;verified;windows,yes
243,Scuf Omega,Scuf,scuf-omega,https://gamepadla.com/scuf-omega.html,243_scuf-omega.webp,2.11,4.44,,3.73,4.74,,A+,A,1.17,3.755,6.05,0.7,Android;iOS;Playstation 5;Windows,Cable;Dongle,$ 219.99,2026-06-02T08:07:58+03:00,android;ios;ps5;symmetric;tmr;verified;windows,yes
241,ZD Gaming Super Legend Excellence 8K,ZD,zd-gaming-super-legend-excellence-8k,https://gamepadla.com/zd-gaming-super-legend-excellence-8k.html,241_zd-gaming-super-legend-excellence-8k.webp,2.53,8.04,7.29,0.57,9.97,12.62,A+,B,0.06,8.198636363636364,36.03,4.5,iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,$ 69.99,2026-05-31T22:51:04+03:00,ios;linux;switch;tmr;verified;windows,yes
